,id,url,sentiment_polarity,abs Polarity,Clean tweet,sentiment_subjectivity,tweet,now
0,6.66642E+17,0,-0.2,0.2,Drunk soul speaks a sober mind,0.6,Drunk soul speaks a sober mind,17-Nov-15
0,6.66642E+17,0,-0.02,0.016666667,Hell is an eternity of being sober in a room full of drunk people,0.58,Hell is an eternity of being sober in a room full of drunk people.,17-Nov-15
0,6.66641E+17,0,-0.2,0.2,Drunk minds speak a sober tongue,0.6,Drunk minds speak a sober tongue.,17-Nov-15
0,6.66639E+17,0,0.04,0.04,Turns out drunk me knows a few months before sober me if someone is worth knowing I should listen to that guy more often,0.38,Turns out drunk me knows a few months before sober me if someone is worth knowing. I should listen to that guy more often,17-Nov-15
0,6.66639E+17,0,-0.3,0.3,Its always difficult to make conversation with a drunk and theres no denying it the sober are at a disadvantage with him,0.73,It's always difficult to make conversation with a drunk  and there's no denying it  the sober are at a disadvantage with him.,17-Nov-15
0,6.66639E+17,0,-0.2,0.2,Sober vs drunk ,0.6,Sober vs drunk https://t.co/8rJlSyXChV,17-Nov-15
0,6.66639E+17,0,-0.2,0.2,Drunk minds speak sober thoughts,0.6,Drunk minds speak sober thoughts.,17-Nov-15
0,6.66638E+17,0,-0.2,0.2,writingadvice Write drunk edit sober  Ernest Hemingway,0.6,#writingadvice Write drunk  edit sober. – Ernest Hemingway,17-Nov-15
0,6.66638E+17,0,-0.13,0.133333333,Drunk actions are only sober thoughts,0.73,Drunk actions are only sober thoughts.,17-Nov-15
0,6.66637E+17,0,-0.2,0.2,Sober vs drunk,0.6,Sober vs drunk,17-Nov-15
0,6.66643E+17,0,-0.2,0.2,She front and blow me off when she sober but cant resist when shes drunk,0.6,She front and blow me off when she sober but can't resist when she's drunk,17-Nov-15
0,6.66645E+17,0,0.02,0.02,How many times are people gonna mistake julians naturally weird goofy self with him being drunk He got sober in 04 ,0.74,How many times are people gonna mistake julians naturally weird goofy self with him being drunk. He got sober in 04. https://t.co/XyW7irO5yp,17-Nov-15
0,6.66646E+17,0,-0.03,0.03125,Found the list so Im currently functioning as if I have a bac of 10 probably a bit higher now since thats at 24 hours drunk yet sober,0.53,Found the list  so I'm currently functioning as if I have a bac of .10  probably a bit higher now since that's at 24 hours  drunk yet sober!,17-Nov-15
0,6.66646E+17,0,-0.2,0.2,Drunk words are sober thoughts,0.6,Drunk words are sober thoughts,17-Nov-15
0,6.66646E+17,0,-0.2,0.2,Drunk words are sober thoughts,0.6,Drunk words are sober thoughts.,17-Nov-15
0,6.66649E+17,0,-0.13,0.133333333,Alcohol will only make a person cheat if theyd considered doing it while sober Being drunk changes your behavior not your morals,0.73,"""Alcohol will only make a person cheat if they’d considered doing it while sober. Being drunk changes your behavior  not your morals.""",17-Nov-15
0,6.66649E+17,0,-0.2,0.2, loooooool mate drunk or sober i wouldve cried just like them ,0.6,@fuzzypickles_ loooooool mate! drunk or sober i would've cried just like them 😂,17-Nov-15
0,6.6665E+17,0,0.03,0.033333333,Bitches out here Drunk in Love  while they niggas out here  Sober and Cheating  ,0.6,"Bitches out here ""Drunk in Love "" while they niggas out here "" Sober and Cheating "" 😂😂😂😂😂",17-Nov-15
0,6.66652E+17,0,0,0,Aw Drunk Sarah ran the dishwasher overnight to surprise  Sober Sarah in the morning That was thoughtful,0.57,Aw! Drunk Sarah ran the dishwasher overnight  to surprise  Sober Sarah in the morning. That was thoughtful.,17-Nov-15
0,6.66652E+17,0,-0.2,0.2,Sober vs drunk ,0.6,Sober vs drunk https://t.co/OMAMSoFVsV,17-Nov-15
0,6.66652E+17,0,-0.2,0.2,Always do sober what you said youd do drunk That will teach you to keep your mouth shut  Ernest Hemingway quote,0.6,"Always do sober what you said yo'd do drunk. That will teach you to keep your mouth shut. 
― Ernest Hemingway #quote",17-Nov-15
0,6.66652E+17,0,-0.2,0.2, 09469   Drunk words are sober thoughts,0.6,@Shupon07 @ayodeji_09469 @Seewhyrules  Drunk words are sober thoughts.,17-Nov-15
0,6.66654E+17,0,-0.04,0.038095238, Whats q968 are you drunk right now You should stop tweeting till you sober up,0.58,@KurtSchlichter What;s q968? are you drunk right now? You should stop tweeting till you sober up.,17-Nov-15
0,6.66654E+17,0,0.11,0.1125,didier  the Irish are the greatest race Not always drunk never really sober,0.55,@julia_didier @bubblycatholic the Irish are the greatest race. Not always drunk  never really sober,17-Nov-15
0,6.66654E+17,0,-0.5,0.5,Find someone who makes you feel drunk when youre sober,1,Find someone who makes you feel drunk when you’re sober🍻,17-Nov-15
0,6.66655E+17,0,-0.2,0.2, Ill fall apart sober drunk Im laying on the floor and taking the puppy beating ,0.6,@CalypsoWilde I'll fall apart sober  drunk I'm laying on the floor and taking the puppy beating 😩,17-Nov-15
0,6.66655E+17,0,-0.2,0.2,Sober vs drunk,0.6,Sober vs drunk,17-Nov-15
0,6.66657E+17,0,0.05,0.05,I glitter when least expected to I fart when asked to be sober I laugh when too upset I swear when not drunk Stop predicting me,0.42,I glitter when least expected to. I fart when asked to be sober. I laugh when too upset. I swear when not drunk.... Stop predicting me.,17-Nov-15
0,6.66659E+17,0,-0.34,0.34,Goddammit Why does sober me always want to go back in time and punch drunk me in the face Because drunk me is a fucking idiot thats why,0.6,Goddammit. Why does sober me always want to go back in time and punch drunk me in the face? Because drunk me is a fucking idiot that's why..,17-Nov-15
0,6.6666E+17,0,-0.37,0.366666667,I may be drunk Miss but in the morning I will be sober and you will still be ugly,0.73,I may be drunk  Miss  but in the morning I will be sober and you will still be ugly.,17-Nov-15
0,6.66662E+17,0,-0.2,0.2,A drunk mans words are sober mans thoughts,0.6,A drunk man's words are sober man's thoughts.,17-Nov-15
0,6.66663E+17,0,0.03,0.025,Id much rather be drunk 247 Not one person worth being sober for ,0.38,I'd much rather be drunk 24'7. Not one person worth being sober for 😭😂💀,17-Nov-15
0,6.66663E+17,0,0.07,0.075,The video of the drunk girls with puppies is literally me sober with puppies bc I just love puppies so much ,0.5,The video of the drunk girls with puppies is literally me sober with puppies bc I just love puppies so much 😩💞,17-Nov-15
0,6.66664E+17,0,-0.2,0.2,Drunk words sober thought ,0.6,Drunk words sober thought 🙃,17-Nov-15
0,6.66664E+17,0,-0.2,0.2,Texting girls drunk that I never give the time of day to sober CharlieSheen type antics,0.6,Texting girls drunk that I never give the time of day to sober. #CharlieSheen type antics.,17-Nov-15
0,6.66664E+17,0,-0.5,0.5, you were that drunk Remember seeing me,1,@CierraLownes you were that drunk? Remember seeing me?,17-Nov-15
0,6.66665E+17,0,-0.05,0.05,Drunk ppls words  Im not drunk machiiiSober ppl  pundek pour one peck for me before I drink yours,0.73,"Drunk ppls words :- I'm not drunk machiii
Sober ppl :- pundek pour one peck for me before I drink yours",17-Nov-15
0,6.66665E+17,0,-0.2,0.2, theHybrid Also dont sleep with someone who is drunk If they wouldnt sleep with you sober then its not consensual,0.6,@Mynosylexia @Crys_the_Hybrid Also don't sleep with someone who is drunk. If they wouldn't sleep with you sober then its not consensual.,17-Nov-15
0,6.66667E+17,0,-0.13,0.133333333,alcohol will only make a person cheat if theyd considered doing it while sober being drunk changes your behavior not your morals,0.73,alcohol will only make a person cheat if they’d considered doing it while sober. being drunk changes your behavior  not your morals.,17-Nov-15
0,6.66667E+17,0,-0.2,0.2,Sober vs drunk ,0.6,Sober vs drunk https://t.co/XMCZYTauBV,17-Nov-15
0,6.66669E+17,0,-0.03,0.025,Drunk texting is all fun until you have to talk to the person sober the next day,0.35,Drunk texting is all fun until you have to talk to the person sober the next day,17-Nov-15
0,6.6667E+17,0,-0.08,0.08, 2 Everyone has problems whether sober drunk or high Quitting drugs alcohol etc will not make problems go away,0.58,@memacushla 2) Everyone has problems whether sober  drunk or high. Quitting drugs  alcohol etc will not make problems go away,17-Nov-15
0,6.6667E+17,0,-0.05,0.05,When you take a test drunk and didnt study and somehow get a higher grade that everyone who was sober and studied,0.57,When you take a test drunk and didn't study and somehow get a higher grade that everyone who was sober and studied,17-Nov-15
0,6.6667E+17,0,-0.2,0.2,Woke up with my credit card laying on my keyboard I cant wait to see what drunk me bought sober me,0.6,Woke up with my credit card laying on my keyboard. I can't wait to see what drunk me bought sober me.,17-Nov-15
0,6.66671E+17,0,-0.02,0.016666667,back in 2011 i solved a Rubiks cube drunk tried to solve it again the next day sober and failed lol on my break Im buying a Rubiks cube,0.37,back in 2011 i solved a Rubik's cube drunk. tried to solve it again the next day sober and failed lol. on my break I'm buying a Rubik's cube,17-Nov-15
0,6.66671E+17,0,-0.2,0.2,Sober vs drunk ,0.6,Sober vs drunk https://t.co/zcUNl1fIFE,17-Nov-15
0,6.66671E+17,0,-0.2,0.2, son I could fist fight you in person drunk or sober,0.6,@KusogeGod son I could fist fight you in person drunk or sober,17-Nov-15
0,6.66672E+17,0,0.04,0.043518519,Drunk Enya sometimes makes really good decisions that sober Enya wasnt tough enough to do so thats cool,0.63,Drunk Enya sometimes makes really good decisions that sober Enya wasn't tough enough to do so that's cool.,17-Nov-15
0,6.66674E+17,0,0,0.002380952,Sober Future is just as good of an idea as Drunk History Youd watch Lindsay Lohan unhappily sipping seltzer at brunch right,0.56,"""Sober Future"" is just as good of an idea as ""Drunk History"" Yo'd watch Lindsay Lohan unhappily sipping seltzer at brunch  right?",17-Nov-15
0,6.66674E+17,0,0.1,0.1,Im drunk and brave enough to sayWhat sober couldnt say,0.68,"""I’m drunk and brave enough to say
What sober couldn’t say...""",17-Nov-15
0,6.66675E+17,0,-0.19,0.1875,Write drunk edit sober,0.6,Write drunk  edit sober!,17-Nov-15
0,6.66675E+17,0,-0.2,0.2,A drunk mans actions are a sober mans thoughts,0.6,A drunk man's actions are a sober man's thoughts.,17-Nov-15
0,6.66675E+17,0,-0.57,0.566666667,sober life is boring useless drunk world is also boring useless but atleast you dont know that,0.6,sober life is boring useless. drunk world is also boring useless but atleast you dont know that,17-Nov-15
0,6.66676E+17,0,-0.2,0.2,Drunk Tyler needs to teach sober Tyler how to talk to girls,0.6,Drunk Tyler needs to teach sober Tyler how to talk to girls,17-Nov-15
0,6.66676E+17,0,-0.08,0.08,People get high and they eatI get drunk and I eatIm sober and I eatWhats to eat FoodMattersLive2015,0.58,"People get high  and they eat.
I get drunk and I eat.
I'm sober and I eat.
What's to eat? #FoodMattersLive2015",17-Nov-15
0,6.66677E+17,0,-0.15,0.15,when the first time yal were drunk and the second time yal sober its so awkward hahahahahaha,0.51,when the first time yal were drunk and the second time yal sober  its so awkward hahahahahaha,17-Nov-15
0,6.66677E+17,0,-0.2,0.2,Sober vs drunk ,0.6,Sober vs drunk https://t.co/H0Bav4I6D9,17-Nov-15
0,6.66677E+17,0,0.03,0.033333333, I love the drunk Gabriel not the sober Gabriel  LMFAO bye bitch ,0.6,""" I love the drunk Gabriel not the sober Gabriel "" LMFAO bye bitch 🖕🏼",17-Nov-15
0,6.66677E+17,0,-0.33,0.333333333,Drunk me loves creating awkward situations for sober me,0.73,Drunk me loves creating awkward situations for sober me,17-Nov-15
0,6.66677E+17,0,-0.2,0.2,Alone I am drunk on my thoughts in company I am sober again Mason CooleyALDUBTheRivalry,0.6,"Alone  I am drunk on my thoughts; in company  I am sober again.
- Mason Cooley
#ALDUBTheRivalry",17-Nov-15
0,6.66677E+17,0,0.05,0.05,My favorite phrase when Im drunk is Im not drunk but Im not sober guys,0.8,"My favorite phrase when I'm drunk is ""I'm not drunk but I'm not sober guys""",17-Nov-15
0,6.66678E+17,0,-0.2,0.2,Are drunk words really sober thoughts though,0.6,Are drunk words really sober thoughts though?,17-Nov-15
0,6.66678E+17,0,-0.2,0.2,remember kids write drunk edit sober,0.6,remember  kids... write drunk  edit sober.,17-Nov-15
0,6.66679E+17,0,-0.33,0.333333333,Drunk me just loves creating awkward situations for sober me but he does crack me up,0.73,Drunk me just loves creating awkward situations for sober me  but he does crack me up,17-Nov-15
0,6.66679E+17,0,-0.33,0.333333333,Drunk me loves creating awkward situations for sober me,0.73,Drunk me loves creating awkward situations for sober me,17-Nov-15
0,6.66679E+17,0,-0.1,0.1,The buzzfeed video of drunk girls being surprised with puppies is literally me completely sober I am especially the one who starts crying,0.74,The buzzfeed video of drunk girls being surprised with puppies is literally me completely sober I am especially the one who starts crying,17-Nov-15
0,6.66679E+17,0,0.03,0.033333333,When drunk you is better at paying your credit cards than sober you ThanksIGuess,0.57,When drunk you is better at paying your credit cards than sober you. #ThanksIGuess.,17-Nov-15
0,6.6668E+17,0,-0.08,0.08, I know youre supposed to write drunk edit sober but I dont know what youre meant to do when youre high on painkillers,0.58,"@readyformydrink I know yo're supposed to ""write drunk edit sober"" but I don't know what yo're meant to do when yo're high on painkillers",17-Nov-15
0,6.6668E+17,0,-0.08,0.08,Drunk sober high If you surprise me with a horde of puppies anytime I will cry,0.58,Drunk  sober  high; If you surprise me with a horde of puppies anytime  I will cry.,17-Nov-15
0,6.6668E+17,0,-0.2,0.2,Cant deal with drunk people when Im sober,0.6,Can't deal with drunk people when I'm sober,17-Nov-15
0,6.66681E+17,0,-0.36,0.355555556,Why is it easier to function on 20 mins of sleep drunk but sober its impossible,0.73,Why is it easier to function on 20 mins of sleep drunk but sober it's impossible?,17-Nov-15
0,6.66681E+17,0,-0.22,0.216666667,How to drink alcoholic drinks without getting drunk and sober,0.57,How to drink alcoholic drinks without getting drunk and sober?,17-Nov-15
0,6.66682E+17,0,0,6.94E-18,Why do I always gotta slur my words and sound drunk I AM SOBER I JUST HAVE A DEEP VOICE AND A SLUR PEOPLE,0.5,Why do I always gotta slur my words and sound drunk? I AM SOBER I JUST HAVE A DEEP VOICE AND A SLUR PEOPLE,17-Nov-15
0,6.66683E+17,0,-0.1,0.1,Drunk Sarah hid the remote from Sober Sarah on sunday night and Sober Sarah still cant find it,0.4,Drunk Sarah hid the remote from Sober Sarah on sunday night and Sober Sarah still can't find it.,17-Nov-15
0,6.66683E+17,0,-0.1,0.1,If you say some shit when you drunk back it up when you sober Cause you meant the shit Drop ya pride and spill it for real,0.52,If you say some shit when you drunk  back it up when you sober. Cause you meant the shit. Drop ya pride and spill it for real.,17-Nov-15
0,6.66683E+17,0,-0.4,0.4,I do stupid things when Im sober Imagine me when Im drunk,0.73,I do stupid things when I'm sober. Imagine me when I'm drunk.,17-Nov-15
0,6.66684E+17,0,-0.3,0.3,Whats sad about it is that I get clumsier when Im drunk and Im the clumsiest person I know while sober,0.73,What's sad about it is that I get clumsier when I'm drunk and I'm the clumsiest person I know while sober,17-Nov-15
0,6.66684E+17,0,-0.2,0.2,write drunk edit sober Content,0.6,write drunk  edit sober. #Content,17-Nov-15
0,6.66685E+17,0,-0.1,0.1,people who go round saying theyre gonna hit someone but see them sober n say fuck all then see them drunk n get mouthy  ok den X,0.54,people who go round saying they're gonna hit someone but see them sober n say fuck all  then see them drunk n get mouthy 🤔 ok den X,17-Nov-15
0,6.66686E+17,0,-0.09,0.087878788,Arriving sober in a room of drunk people is my new aesthetic,0.55,Arriving sober in a room of drunk people is my new aesthetic,17-Nov-15
0,6.66686E+17,0,0.01,0.005699856,Demarco  Drunk Love New MusicDancehall star Demarco is not sober in new single Drunk Love off the Pink Eye Riddim produced by Kwas,0.54,"Demarco – Drunk Love [New Music]

Dancehall star Demarco is not sober in new single “Drunk Love ” off the Pink Eye Riddim  produced by Kwas…",17-Nov-15
