sentiment_polarity,sentiment_subjectivity,absPolarity,Clean tweet,L
0.15,0.7,0.15, And yet sometimes its the drunk ones that always win those karaoke contests,n
-0.5,0.7,0.5,eventing 90 chance im still drunk from the weekend,y
-0.5,1,0.5,  LasVegas  im going to be drunk and chilling I do not care ,y
-0.2,0.95,0.2,1 time  and i got drunk at my place in cambridge and bussed to elements and were sober once we got there laterdayz,y
0.15,0.6,0.15, lol he names drop and snitches a lot OGs wouldnt agree Unless he asks for permission while they drunk,n
-0.2,0.85,0.2,Mr Fitz wasnt even surprised today when I admitted I was drunk when writing my homework,y
1,0.95,1, PunchDrunk Love passou num cinema,n
-0.5,0.7,0.5, hmmm there are laws against theft people still b stealing stuff Laws against DUI people still drive drunk Laws laws laws,n
0.05,1,0.05,Btw Spat2508 every Christmas from now own we must get drunk together,n
-0.25,0.95,0.25, Ive seen the video  I think thats was a joke I Actually do things like that with my bestfriend When Im drunk  But,y
-0.5,0.6,0.5,Your father turns into a gospel singer when hes drunk and they call him ntwana ko Tavern ,n
0,1,0,Kane88  OH MY GOD THERE ARE HOODIES NOW,n
-0.5,0.85,0.5,I miss the Facebook of 10 years ago Just college kidshaving funposting inappropriate drunk photos,n
0,0.95,0,pffft Marcie  You should read your timeline when you drunk tweet You love to brag about material things,n
-0.5,1,0.5,Nothing says Im over you quite like drunk texting AND calling at 1 in the morning on a TUESDAY,n
-0.5,0.55,0.5,My friend drunk at 12 oclock smh smh,n
-0.5,1,0.5, yeah hoe I tried to show you at Chris house and u were too drunk,n
-0.5,0,0.5,Did I even see you that nightUh yeah you ran and jumped on meDrunk me loves everyone ,n
0.26,1,0.255555556,Andrew and I always had the best drunk talks he would tell me Im too beautiful to deal with half of these lames hes such a sweet soul,y
0.1,0.8,0.1,Drunk girls would be amazing lawyers if they cared about laws amp freedoms as much as they cared about trying to convince people theyre sober,n
-0.13,1,0.125, i met a lot of twitter ppl and got drunk asf n hooked up with a really hot guy,y
0.05,1,0.05, or you know drunk off his ass or in his own world of wonder and childlike spirit,n
-0.5,1,0.5,How drunk do you have to be ,n
0,0.55,0,Okay but fr I just want to get drunk and not deal with my problems Wheres the whiskey at,y
0.17,1,0.166666667, k LOL Oh dear Weve all dated that type havent we I dated a guy who could only bowl when drunk   ,n
-0.5,1,0.5,lopez132 we getting drunk tonight ,y
-0.3,1,0.3,When you go into work and get written up for 3 different thingsthen get a trophy for a bowling game you were too drunk to participate in,y
0.5,1,0.5,I love being drunk,y
-0.5,0.8,0.5,andre got his while drunk too,n
-0.5,1,0.5,I wanna get drunk,y
-0.33,1,0.325,Very very drunk last night,y
-0.5,1,0.5,I just want to get drunk at this point ,y
-0.5,0.6,0.5, Ill get drunk with you over the mic hahahhahaa,n
0.25,0.58,0.25, I never drunk tweet,n
-0.5,0.93,0.5,Bitch you drunk,n
-0.6,1,0.6, thats why you drunk off me ugly ass,n
-0.2,1,0.2, couldnt do it last night all drunk Killed it just now in two tries,n
-0.25,1,0.25,With no self control anything is possible like me being drunk on a Wednesday,y
-0.5,1,0.5, is goals I wanna get wine drunk and complain about stuff at work  notopants,y
0.22,0.6,0.22,Drunk amp High Sex Got To Be The Best Sex Ever ,n
-0.36,0.75,0.3625,Jesus I have cried about 37 times today watching sad movies Being this poorly is awful  GET ME DRUNK hahaha Too emotional,n
-0.52,0.9,0.515625,Oh shit Lets get drunk in a tent TURNT IN A TENT shitMollysays roomiesatFireFly,n
-0.5,1,0.5,Lets be drunk,y
-0.5,0.67,0.5,tbststone well if one is going to be drunk they may as well go all out and be a damn drunkard,n
-0.5,0.6,0.5, Lets get drunk at Don and Millies,y
-0.17,1,0.166666667, a  i never get drunk enough smh next time,y
-0.5,1,0.5,Hes the drunk uncle who spiked the punch And dances with in a circle with two cups,n
0.25,0.53,0.25, Either way this gif describes me when drunk perfectlyalso robots,n
-0.25,1,0.25, I wish it was drunk tired Lol Not sleeping well is making my brain turn to mush Feel awful,n
-0.15,0.75,0.15,kinda really wanna be drunk,y
0.13,0.9,0.125,Words from a Honors Chemistry class Being emotionally unstable is awesome I got so drunk last weekend Can I see your paper,y
0.1,1,0.1,All I want to do is go and get Ali so drunk and we can have good times again,n
0,1,0,throwback to when I was drunk and cute ,y
-0.53,1,0.533333333, LMFAO makes sense I had a bad day and I was like fuck it Im getting drunk Now Im like ,y
0.2,1,0.2, a  sober or drunk u can catch me dancing lol but yes,y
-0.23,0.53,0.233333333,I miss Soph so fucking badly sometimes Agh Im so love drunk ,y
-0.02,1,0.01875,Taye Diggs did some dumb shit in every movie he was in He was drunk before his wedding cheated with his best friends fianc Cmon now,n
-0.5,0.37,0.5, remember that one time you were drunk as heck ,n
-0.5,1,0.5, now you being selfish we were drunk at Bray shower ,y
-0.25,1,0.25, yea the sport definitely left him punch drunk and financially uneducated Makes me sad,n
-0.08,1,0.083333333,I think the twitter simulator is similar except you get drunk first,n
-0.25,0.37,0.25,Forgot I got drunk last night,y
-0.5,1,0.5,Being drunk and having an overdraft is an accident waiting to happen,y
0,0.61,0,having a quiet one this weekend Ill no be drunk,n
0,0.81,0,  whats the name of the judge that is lenient on drunk drivers,n
-0.08,0.9,0.08,Also why he can only get drunk sluts at parties and  his snowball date didnt even wanna go with him lol such a bad ass,n
0.06,1,0.058928571,I enjoy messing with staff Oh you got drunk amp slept with him lets make things little more awkward by putting you on the same bar then lol,n
-0.15,1,0.15, haha remember when u tried to kick me out ur house when u were drunk af,n
-0.5,0.61,0.5, is drunk all he implies is DontApplyRule68,n
0.13,1,0.133333333,Ie Im good at shopping decorating eating complaining about my family and absolutely killing drunk Bruce Springsteen Christmas songs,n
0.25,0.5,0.25,Some of lifes best lessons are learned while watching yourdrunk friends cc  Mdumseni,n
-0.21,1,0.208333333, i saw the other day some guy was trying to open the exit door on a plane 1st they thought terrorist but he was just a drunk,n
-0.5,1,0.5,I want to go get drunk now,y
-0.15,0.85,0.15,Gave my baby some 2 milk this morning amp he drunk the whole bottle,n
-0.17,0.6,0.166666667, lmao crazy thing is I remember every time I was drunk as hell like it happened yesterday,y
0.27,1,0.266666667,   Just elbowing since Trump is drunk on touting even vote many times as desired polls if ahead lol,n
-0.5,0.5,0.5,  Is YouTube drunk again,n
-0.38,1,0.375,HongQiWei just lije when u said u werent drunk that day  ,n
-0.5,1,0.5, get your wallet stocked up It takes allot to get me drunk btw,n
-0.5,0.85,0.5,Getting drunk cokeXparis plushlounge 25 ghc This Friday 10pm ,n
-0.5,0.6,0.5, drunk hungover,n
-0.25,0.68,0.25,i wish i could sit next to you and we could get drunk together and watch the neon lights and talk about the universe and god and stars,y
-0.2,0.8,0.2,caba not on you seem like you were sober  was I that drunk smfh,n
-0.5,0.68,0.5,whenever niggaz tweet drunk sex  ,n
-0.25,0.8,0.25,I cant wait to overhear drunk white sorority bitches at Lucys ask brown dudes if they are ISIS,n
0.1,1,0.1,  i have Friday off So there is a good chance ill already be drunk,y
0.37,0.68,0.366666667,  met at a party I was drunk and totally impressed by her And to be honest I wanted to try Something else And it ,y
-0.5,0.8,0.5,Still drunk,y
-0.5,0.76,0.5, get drunk,n
0.2,0.63,0.197222222, TSN is flatout better imo but Im easily charmed by drunk jackasses OWL is best if youre interested in Xn youth amp depression,n
-0.33,0.76,0.333333333,at Home Depot just pulled half a 30 rack out of my drunk and gave it to a group of day workers because fartdaughter is for the people,n
-0.45,0.65,0.45, 510am still tired 700am feel drunk  300pm screw it I am going fishing,n
-0.5,1,0.5,Any talk about Luke Falk and the Heisman is drunk talk since it will never happen,n
-0.5,1,0.5,dese substitute teachers be having be drunk af,n
0,1,0,What I learned in drug psychology today how many drinks I should drink per hour to stay drunk all night ,n
0.05,0.5,0.05,My daddy said Im still drunk lmao,y
0.05,0.58,0.053333333, I wasnt drunk LOLmaybe high but its OK,n
-0.35,0.53,0.35,Im not perfect but Im always realreal drunk but real,y
-0.5,1,0.5,  if i ever got drunk that would be us,y
0.05,0.33,0.05, lmao Lmfao Ya drunk ,n
-0.5,1,0.5, I get drunk on jealousy,n
-0.5,0.95,0.5,No refusal means cops will draw blood if they think ur drunk   ,n
-0.5,0.77,0.5, Im not bisexual and Ive kissed my bestfriend at some party When I was drunk  But Even if Nikki Is It doesnt make her a,n
-0.5,1,0.5,60 milion Euro per AubameyangDortmund go home youre drunk,n
0,0.33,0,I woke up up still drunk drunk on your love love,y
-0.5,0.95,0.5,Its 1254 and I just wish I was drunk,n
0.1,0.77,0.1,I know my ass gone be drunk I wanna feel good just like its my birthday,y
0,1,0, yeah,n
-0.5,0.62,0.5,Austin is drunk texting me at 12pm,n
-0.17,0.65,0.166666667,definitely got too drunk last night ,y
-0.5,1,0.5,Bless your soul if I have ever called you drunk,n
-0.5,0.95,0.5,I didnt even get drunk tho ,n
0.15,0.83,0.15,I memba one time I was drunk to death and  I almost put diesel in my tank lol,y
-0.27,0.65,0.266666667,When youre drunk as fuck but trying to act sober so the bouncer will let you in ,y
-0.41,0.63,0.4125, I was very drunk last time we metSorry Magnus Really sorry ,y
-0.4,1,0.4,Instead of writing essays tonight Im going to get drunk with Courtney why is she such a bad influence,y
-0.15,0.7,0.15,Really feel like getting drunk ,y
-0.5,0.62,0.5,   coupled with the fact that she always has a drink in her handSHES A DRUNK,n
0.15,0.65,0.15,  lol level of drunk  100,y
0.25,1,0.25, Im glad you think so bro I havent drunk tweeted in a while so I thought last night was the perfect timeMISS YOU LOADS,n
-0.02,0.97,0.025, lol fuck that the only way that would happen again is if Im really drunk ,n
-0.5,0.73,0.5,My drunk texting skills are ,n
-0.5,1,0.5,When your Friend Is drunk on the couch and you get them a glass of ice water ,n
-0.5,0.83,0.5,Drunk MTVStars Rihanna,n
-0.5,0.65,0.5,Drunk on DayQuil and trying to intimidate  npnyc novemberproject RunSelfieRepeat ,n
-0.5,0.63,0.5, I couldnt jump the fence cos I was to drunk so I had to break it ,y
-0.5,1,0.5,Kinda wanna get drunk tonight Kinda dont wanna wake up broke,y
-0.5,0.7,0.5,because I would get too drunk to eat ,y
-0.5,1,0.5,I wanna make it my business I wanna recognise drunk you honey ,n
-0.5,1,0.5,Skills pro pep talker in the bathroom mirror when Im drunkYou can do thithh,n
-0.5,1,0.5,Lets drunk,y
0.38,1,0.375,Drunk on Love Cockiness Fool in Love Watch n Learn TTT Birthday Cake WAWL Roc me Out WFL WHYB  All are EXCELLENT ,n
0.17,1,0.171428571,Crease that Jamie basically Hates me when Im drunk cause Im a pure pain in the arse and he has to put up with me on Saturday lol,y
-0.5,1,0.5,Getting drunk in health ,n
0.11,0.5,0.111111111,Overheard conversation oh honey I am a cheap date and I get drunk easily with wine Music to our ears,n
-0.3,0.6,0.3,gross drunk and fuck is on my pandora and my mom just recorded it on her snap chat Im going to puke,y
-0.5,1,0.5,We are de bahdest teeam ohhoo Flexes like that drunk neighbour that invites themselves to your family events,n
-0.5,0.5,0.5,Im going to stop tweeting and try to find another lunch now since  was trying to get me drunk on fruit cups,n
0,1,0,Ao som de Drunk In Love lt,y
0,1,0,I wish snapchat had a time hop feature like here are all the drunk snaps you sent last year enjoy the misery of regret,n
-0.5,0.8,0.5, I dont drunk text,n
-0.5,0.97,0.5,I listen to Maria Im drunk about 80x a day,y
0.13,1,0.125,Note to Hollywood  Jokes about being drunk hungover or about private parts arent funny 22 HowToBeSingle Trailer Movie EndOfComedy,n
0.17,1,0.166666667, also I have never wanted to be drunk more  take more naps,n
-0.5,0.5,0.5, ellesse Youre drunk ,n
-0.09,0.67,0.0875,   VERY Very well said Scott The Stock Market is DRUNK w what the  is pushing Cavuto,n
-0.17,0.58,0.17,Have you ever been lied toGot drunk got high too,n
0.12,0.85,0.12,imraan actually Im bare nice when im drunk just not sober ,y
-0.08,1,0.075,petition to get calum drunk and then put him in a room full of puppies MTVStars 5 Seconds Of Summer,n
-0.5,1,0.5,Im really really drunk Oh god,y
-0.5,0.75,0.5, r u drunk,n
0.25,1,0.25, Im not drunk,n
-0.5,0.68,0.5, no hes not ur drunk ,n
-0.5,0.77,0.5,When you get so drunk on a Tuesday you consider changing your plans on friday,y
-0.5,1,0.5,Gets drunk within minutes,n
0.03,0.67,0.033333333, pls Im supposed to be drunk in the second one lmao,n
-0.19,0.58,0.190909091,I take wake up drunk go to sleep fucked up to a whole new level  ,y
-0.5,0.85,0.5, I worded this so badly wtf was I drunk,y
-0.31,1,0.3125,POETS anyone know how I could get my hands on Paul Bura The Drunk on the Train amp Other Poems Everywhere online says its unavailable,n
0.15,1,0.15,  lol go home Obama youre drunk,n
-0.13,1,0.125,Youre pretty when im drunk,n
-0.25,1,0.25,Im feeling a little under the weather And by under the weather I mean hungover  Possibly still drunk,y
0.15,1,0.15,You could say I had a great Monday night  drunk ,y
-0.5,0.8,0.5,Dont talk when u see me drunk cokeXparis plushlounge 25 ghc This Friday 10pm ,y
-0.36,0.68,0.36328125, you guys should have came to our beer garden and got drunk then chat about driver rankings ,n
-0.18,0.77,0.181818182,Went to Walmart drunk bought a pizza lunchable some donuts three new shirtsthat are too smalland Hawaiian bread what was I thinkin,y
0,1,0, All might be a bit drunk on love ya know,n
0.17,0.8,0.166666667,I wish Justin Bieber amp Travis Scott would stop making music together Drunk sounded better wo JB amp No Sense would be better wo T,n
0,1,0,drunk in love,n
-0.13,1,0.133333333,20yr old FlagBurning Gamer Drunk Christian Killer  Prog    kmaldonado4   ,n
-0.2,0,0.2,Travis Scott  Maria Im Drunk feat Justin Bieber amp Young Thug np   ,n
-0.05,1,0.053703704,We were drunk so he grabbed my leg pulled me down on floor next to him ten he said ok your dad was black ,y
-0.4,1,0.4,I cannot make money and still make sense fuck your pounds fuck your pence,n
-0.5,0.52,0.5,Icwould watch a show called So You Think You Can Danoe When Youre Drunk,n
-0.5,1,0.5,lopez14   You are a fool who has drunk the kool aid of the sanders emo cult Bye,n
-0.5,1,0.5,Am getting drunk cokeXparis plushlounge 25 ghc This Friday 10pm ,n
-0.5,0,0.5,call your friends lets get drunk,y
0,1,0,ictoria yes And especially if hes all drunk,n
-0.5,0.85,0.5,   Mariah Im Drunk,y
-0.5,0.6,0.5,Drunk on grammar amp coffein thestruggleisreal,n
0.08,0.77,0.083333333,pretty sure alexi is drunk,n
-0.5,0.72,0.5, are you drunk,n
-0.5,0.6,0.5,My professor told us that we have the Wednesday before thanksgiving off to get drunk goodman,n
-0.5,1,0.5,being drunk is a blessing,y
0,0.52,0,For GFs upset their boo is glued to Fallout4If Hes at home he isntBlackout drunkat thestripclubitsnotthatbad pickyourbattles,n
-0.5,0.85,0.5,    Your TL appears youre drunk on spamming amp worshipping DTgod like Obamamessiah was,n
-0.5,0.77,0.5,the resident drunk just slapped my ass so thats a thing,n
-0.5,0.82,0.5, you drunk because his aeygo Day6,n
0.08,1,0.083333333, im pretty sure hes drunk at any point of the day tbh,n
0,1,0,So glad liv is gonna be here cause shes the only person that handle me when Im drunk as hell,y
-0.25,1,0.25,Lee TattooSuggestionsForJoe wrote drunk romeo on the back of his hand meh,n
-0.5,1,0.5,Should I get drunk,n
-0.5,1,0.5,mingyu are you drunk ,n
-0.63,1,0.625,Raenah is drunk on snap chat  shes crazy ,n
-0.5,1,0.5,If you dont post something of me from when I was drunk and embarrassing on my bday are we even friends,y
-0.5,1,0.5,Taking a drunk tour of steam whistles brewery,n
-0.06,1,0.0625, if you gotta be real at least be drunk and real ,n
-0.5,1,0.5,All Selah is is drunk snakes Kelly G,n
-0.5,0.85,0.5,Cause graduation night Im gonna be DRUNK,y
-0.5,0.77,0.5,has anyone used the skincare brand Drunk Elephant,n
-0.5,0.82,0.5,I just got a craving to get drunk,n
-0.5,0.8,0.5, oops mustive been drunk,n
-0.45,0.73,0.45,I dont know if this was before or after I touched the train I was drunk as fuck Oops ,y
-0.37,1,0.366666667,21 damn years old and instead of doing something to display my maturity and glamour I got drunk and made really bad prank calls ,y
-0.34,0.84,0.34375,Its a quarter after 1 amp Im a little drunk and I need you now LadyAntebellum,y
-0.5,0.53,0.5,I swear drunk Justin is the cutest,n
-0.25,1,0.25,Consider Lamu Drunk police officer starts undressing publicly officers at nearby bank disarm him as he threatens to shoot,n
0.01,1,0.011111111,STOP WOMEN ABUSE1 She was pregnant and her days to deliver were very close when her husband came home drunk at about 2am,n
-0.08,0.8,0.075,My one true hobby is being really drunk and making freshman order me food,y
-0.35,1,0.35,Kileki shit had me dead as fuck  I had to hurry up and get dressed Bruh sounded drunk as hell,n
0,1,0,I wanna spend most of Saturday drunk and in a hug,y
-0.5,0.52,0.5,  r u guys even drunk,n
0.25,1,0.25,Drunk texts are the best text,n
-0.03,1,0.035, genuinely wouldnt want to mess with drunk marz  im too nice when Im drunk Im like yes yes get me a cocktail runs away,y
-0.25,0.8,0.25,So drunk I open the door and it was unlock,y
-0.5,0.73,0.5,Coffee makes me feel so drunk ,n
-0.25,1,0.25,Get a white girl drunk 1 time and its all she will ever talk about for the rest of her life smh,n
-0.77,0.67,0.766666667, Please come to bloem this weeknd so I can have someone to get filthy disgusting drunk with,y
-0.08,1,0.083333333,I wanna b super drunk soon ,y
-0.5,0.78,0.5,  Remember that night I was so drunk I kept calling Kelly Samantha or something like that,y
-0.5,1,0.5,Call your friends and lets get drunk,y
-0.5,1,0.5,story of my life i got way too drunk amp did some questionable things,y
-0.25,1,0.25,checks snapchat and realizes just how drunk I was last night ,y
-0.5,0.58,0.5,Start my day up on the roof I say Id jump I never do but when Im drunk I act a fool,y
-0.55,1,0.55,I wanna get buzzed get drunk and get crunk Get a chick to kick it with when Im feeling fucked up,y
-0.5,1,0.5,4 get really drunk,y
-0.4,1,0.4,I might go too the bar Forreal I been needing too be drunk lately ,y
-0.25,1,0.25,I think I was still drunk this morning Im starting to feel my hangover kick in BLESSED,y
-0.5,0.69,0.5,wakes up still drunk,y
-0.5,0.88,0.5,Cause if she doesnt dance and im drunk off my ass I do the walkaway,y
-0.38,1,0.375,Hello my name is Yas and Im an alcoholic drunk alcholic problems ijustwanahavefun helpsmehavenoworries,y
-0.5,0.73,0.5,I was drunk I was coming from Shockoe trying to go to Petersburg HOW DID I END UP IN MOSBY,y
-0.14,0.8,0.138095238,I think Im still drunk cause Im still not spelling shit right ,y
-0.5,1,0.5,I shouldnt have drunk all that liquor,y
-0.5,1,0.5,Kinda want to go out and get drunk kinda want to sleep for 10 years,y
-0.5,0.96,0.5,Remenising when  had to check my pulse because I was so drunk she thought id died,y
-0.5,1,0.5,Beer if drunk in moderation softens the temper cheers the spirit and promotes health  Thomas Jefferson,y
0,1,0,Still drunk at noon happens more often than not,y
0.15,1,0.15,3 lol how Im drunk at school how  how com,y
-0.15,1,0.15,remember when i was very drunk and ginseng strip by yung lean started playin n i started crying i was feeling it my soul was free,y
-0.17,1,0.17,Just Wanna Get High And Drunk Asf Today,y
-0.5,0.95,0.5,When I am drunk and I have nothing to doi do nothing,y
-0.5,1,0.5,Weve all been there got drunk amp vomit but would you called it as an infectious substances    Support lyft,y
-0.5,0.73,0.5,Maria Im drunk,y
0.08,1,0.084126984, after he got me drunkgt swinging my legs over the edge of the bed Ill be right back heading to the bathroom to use the toilet,y
-0.45,1,0.45,When u get drunk as fuck and realize its 1 pm on a wednesdAy,y
-0.25,0.65,0.25, Hopefully Im drunk on the next one,y
-0.5,0.6,0.5,Kinda wanna jump off a bridge  kinda wanna get drunk Im conflicted,y
-0.63,0.7,0.625,Call your friends lets get drunk ,y
0.17,0.75,0.166666667,But lets be real I need to stop giving my number out when Im drunk lol,y
-0.5,1,0.5,Todays goal is to be drunk by 730,y
-0.33,0.65,0.327777778,I got drunk and almost burned down my house,y
-0.5,1,0.5,Running into bushes on campus because Im too drunk for school,y
0,1,0,Im in love with the icecold gray skies of EnglandIll admit all I wanna do Is get drunk and silent,y
-0.63,0.5,0.625,I want to get belligerent drunk and hit rocks with a baseball bat,y
-0.5,1,0.5,Too drunk ,y
0.33,0.83,0.333333333,Surprise bitches im not drunk  gay tshirt u,y
-0.23,1,0.225,Im so ready to get VERY drunk at the weekend,y
-0.5,1,0.5,Im getting drunk this weekend I dont even care,y
-0.5,0.65,0.5, got to see her today been 4ever need to get drunk w u again v soon ,y
0.15,0.6,0.15,    Just how drunk am i Lol,y
-0.08,0.75,0.085,All I want is for this sem to be over and go back getting drunk and high and cameras and photoshoots and my life and my abs BACK,y
-0.13,1,0.125,Its 105 and Im pretty drunk,y
0,1,0,Love to be constantly drunk,y
0.17,0.6,0.175, Exactly unless you had to work but going to work drunk or with a good buzz is pretty chill,y
-0.63,1,0.625,Going to work DRUNK tonight,y
-0.5,1,0.5,drink to get drunk,y
-0.5,1,0.5,tfw u getting drunk cuz u too broke to buy weed atm,y
-0.11,0.95,0.10625,We stay up late drunk and in love with each other,y
-0.28,0.8,0.283333333,Being drunk is not good for my health swear almost broke a bone falling over last night ,y
-0.35,0,0.353125, lmfaoo dude I absolutely do not rmbr anything I was probably so mean to him you know I get angry when Im drunk Lmfao,y
-0.5,0.85,0.5,Maria  Im drunk      Call yuur friends lets get drunk Call yuur friends and lets get drunk,y
0.08,1,0.075,Lers lmfaoo Im very glad everyone was just as drunk ,y
-0.5,1,0.5,I cant wait to be drunk in Mexico,y
0,1,0,   I do this so much I love being day drunk oh my god,y
-0.5,0.87,0.5,Yoo Im fucking drunk ,y
0.18,0,0.18,Sitting here stonking drunk by 6pm amp life is good Bloody love a midweek day off work D,y
-0.5,0.55,0.5,Getting drunk this weekend,y
-0.5,0.28,0.5,i rather be ya NIGGA so we can get drunk amp smoke weed all day,y
-0.5,0.5,0.5, yea I dont work til 5 and Im trying to get drunk,y
