Document,Class
Ive drunk so many lemon and ginger tea today and its not helping ,n
   Garroth Out Of Everyone That Could Have Come The Drunk Idiot Comes  Leaves ,n
I can make myself drunk off my brain,n
We should just get drunk  and fuck ,n
Ok I love my sister drunk But she getting way to drunk honest  Enough girl ,n
me flirting lets get drunk and talk about the federal government,n
Ines is an asshole when shes drunk ,n
I went to my old boyfriend we got drunk with his girlfriend,y
Drunk drive wit my niggas,y
  Of course We dont offer nonscented bleach If I drunk bleach Id definitely want the smell of flowers,n
 suppose on the plus side a can get drunk with ma parents,n
 n the 80s but ge played in Spain and he was a drunk he is very poor nowspent all his money drinking sad story,n
Maria Im drunk,y
I want to be drunk for Halloween,n
call your friends lets get drunk,n
Ha its always my fault that everyone gets too drunk,n
 wasnt even drunk really Just got cracked round the head,n
Writing is easier drunk but you NEED to revise it sober,n
Sometimes I forget I have a metalcore version of drunk in love on my phone and now I am laughing,n
 Happy blackout drunk day,n
Get drunk and whine about it with  goals,n
 the pope sounds like a drunk pedophile,n
Normal day lazy EidKayDin  super lazy,n
 haha Its the French verse from ELO Hold on Tight but Bing translate is drunk again Probably best I stick to English  xx,n
Drunk me isnt doing me any favors hiding my keys when Im late for work the morning after,y
Ive handled violent and drunk guests but I cant decide whETHER I SHOULD APPROACH THIS COSPLAYER ,n
Im still getting drunk as fuck at shannon and the clams because just because no questions Its done,y
the way I slowed Down drinking I just dont be wanting to get that drunk,y
 sooo lightly defended,n
this week has been a disaster for me so I cant wait to get drunk on Saturday ,y
 maybe hes drunk,n
I am just the worst drunk person ever,y
customer were too busy killing all the muslims,n
BeerAisle  literally it was just a drunk tweet gone too far,n
drunk but not in love ,y
 Sure thing my friend Need help getting to your room I dont want you crashing with how drunk you are haha,n
Am I a creep I jus drunk a beer on lunch so,n
 I hope so considering Ive only drunk tea today,n
high off her love drunk from her hateits like Im huffing paint and i love her the more i suffer i suffocate,n
EidKayDin sary cousin mil kr raita phelaty hain,n
 SLOPPY HANDJOBS AND DRUNK KISSES HELL YEH HELL YEH,n
Achievement is when youve not even got close to liquor in ages and you get to hear Youre drunk or what from like ten people 3,n
customer shes also being seriously sold to me in a 60 game about ESPIONAGE tooThe similarities between her and Quiet are uncanny,n
 I love the idea of an entire name change for your drunk self,n
The only way it is okay to go into an establishment ten minutes before closing is if youre obviously drunk and dont really know the time,n
 Just dont feed them they will die on their own,n
 Angela be super drunk this weekend,n
 wow I never drunk tweet mustve reached a new level,y
 Haha  Please add I drunk it   Beer,n
taking this test still drunk as usual,y
I wanna play Minecraft and get drunk,n
Please help my friend Olivia Winn She is an old drunk  Donations accepted  ,n
you looked drunk but very handsome a blurb for the back of my book from ,n
Errrr Only three types of people tell the truth kids drunk people and anyone who is pissed the hell off,n
Drunk innnn looooooooooove,n
 hahahaha clearly uv never met dawn shes gonny be throwin vodka at me she thinks am funny drunk she encourages it,n
 listen to you seems like your life is turning you into a drunk ,n
did bomi drunk,n
Instead of getting me drunk for my going away can everyone please just buy me condoms,n
Last year on my birthday I was drunk and single this year Ill be spending my birthday doing something amazing w the love of my life ,y
Missouri mum writes an open letter 1 year after drunkdriver killed husband and son Destiny Mantia from Lincoln County Missouri w,n
  I will even get us a hotel and u and kieren can go back and get drunk in it if u dont get in  I do it 4u,n
Our hearts were drunk with a beauty Our eyes could never see LegendaryWoman,n
Bleak House features Miss Flite who reveals her aristocratic desires by referring to having once drunk chocolate lsls15,n
It was 45 this morning with a high of 75 for the afternoon Go homeeeeee weather ur drunk ,n
He holds me in his big arms drunk and I am seeing stars this is all I think of,n
Cucumber sisters What does it mean It means weve drunk too much punch probably,n
Drunk  sounds like a great roommate,n
Cant wait for it to be acceptable to be drunk all the time,n
Sometimes I think my teacher is drunk because shes so crazy durning class,n
Drunk nights with good friends are what I live for,y
 drunk cause yuhh,n
Im to drunk for this shit ,n
Were seeing all over the world that there is a decline in drunk driving because of   David Plouffe CDNpoli,n
Blob Same here lol lets just go get drunk and get epic tramp stamps by epic I mean butterflies or some weird tribal thing,n
 yea I need to get really drunk and make you take me to breakfast so I can yell about dry toast at 5am,n
When bhangampbusaa was smoked and drunk openely in Cords rallyWhat an image of Cord principals was at play,n
Sorry Im just clearing out my drafts folder which seems to be filled entirely with jokes Ive half written while drunk,y
Walking like an egyptian singing like a drunk,n
Drunk as shit last night an woke up like ,y
Hey Maria Im drunk,y
We should just get drunk drunk amp  myMOod,n
Ben didnt think I was that drunk last night Poor him,y
Im getting drunk tonight Idc,y
Entirely too fucking drunk las night ,y
 very drunk however top Caroline hosting NYE,n
When ur super drunk ,n
Man I heard she is a drunk keekeeing ,n
Dont get drunk at family events  ,n
     this is too true,n
Connolly no hes an asshole when hes drunk,n
I got drunk from one margarita last night One,y
My anaconda dont my anaconda dont  My anaconda dont want none unless you got buns hun 8 very drunk,n
wake up drunk go to sleep fucked up,y
Need a big lunchgetting drunk tonight,y
Bam must be very drunk and have a really big stamina to dancing ,n
So excited for BB17 amp EmpireSeason2 tonight,n
The beginning of Maria Im drunk should of been like 4 minutes long,n
When he doesnt remember that he called you at 1am when he was drunk xD cutie,n
So what we get drunk ,n
     do yall see all mistakes Lmao I look like Im drunk most of rhe time,y
Ill probably be drunk on Halloween fix myself two plates on Thanksgiving and buy myself a pup and a record player for Christmas ,n
 why are you sinning so early in the dayalso just pour vodka in your ass you get drunk faster that way,n
Before you ask me to baby sit just know that i think kids are extra funny when theyre drunk,n
You were drunk I wasnt I remember you couldnt,n
 If you want it get it Only you know the answer Unless youre drunk In that case NO Or at least wait until tomorrow ,n
Probably shouldnt get drunk and lose my ID,n
The original drunk with thug and Travis  But the intro on Maria ,n
Shorty drunk,n
 If you dont like sluts thats on you Idc ,n
 Go sleep youre drunk,n
Once  seeing Southern Culture on the Skids a drunk spilled beer in my dates helmet Then they got onstage and got thrown out,n
Dont understand why females think being drunk every weekend is cute,n
Ill get drunk tho no hesitation lol,y
 okaaaaay lets get drunk tonighttttt,y
  Austen Im so glad my fellow Twitter people understand me ,n
 its legit Some need to pay a small fee which blows Most of the time its to get drunk or high on something cheap to forget ,n
smoking is 498094219x better than getting drunk,n
My hobbies include getting drunk amp loosing my earrings ,n
TBH the find friends thing that came w iOS 9 is actually super helpful when you and your friends are all drunk college students,n
judging by the way I type you might think Im always drunkyou may not be entirely incorrect,n
Ill be drunk texting you,n
   302 Wolf getting drunk and putting g make up on guys Im checking out of this conversation,n
Drunk photo booths never end well  ,n
 That new beer sounds good beer the kids took from daddy while he was passed out drunk then took the car amp got killed,n
bright MuR drunk goals ,n
I remember I was drunk on Twitter telling my followers to follow me on Twitter that shit was crazy cause somebody unfollowed me then,y
I got drunk on jelousy ,n
I want to get drunk and cook ,n
And get drunk  get tf outa here bitch ,y
  Ive sorted all this out many times whilst drunk Religion is the fear of something judging what you do,n
trulyYours friday gettn drunk Im havin a get togetha Saturdaygettin drunk goin to da icebreaker Sunday DRUNK goin to the D,y
this kid was literally just running to class im drunk and i would never,y
If you Iove something Iet it go if it doesnt come back drunk text it,n
if you want to get an idea of the kind of person i am i was drunk the first time i watched terminator 2 and i cried when arnold died,y
La Palet  is getting drunk Saturday  ,n
Im sorry but if you go get drunk on your school lunch then you need to get your priorities straight,n
8 I do but I drink to get drunk,y
 when  gets drunk ,n
I was drunk as fuck last night,y
 bullshit and you know it Ive seen your drunk snaps lol,n
 them Twitter feminists be reaching so hard trying to shame men In reality they just be looking drunk,n
Do  and  actually do any work Or do they just get drunk snapchat amp play twister all day long ,n
Drunk nerds We test whether knowing BAC levels actually changes drinking behavior via rtechnology reddit,n
ezra  seriously Niall you really should have drunk a lot of water so you dont dehydrate,n
Every drunk girl on snap AYEEEEEE,n
We should just drunk and fuck ,n
I wanna be drunk when i wake up on the right side of the wrong bed and every excuse i made up tell you the truth i hate what didnt kill me,n
  so u telling me barter 6 was better then Kendrick album u drunk,n
Everyone is drunk omo,n
sorry no wifi get drunk and talk to each other,n
 me Get drunk FINE ,n
Show at 230Raffle Wheel Ohmibod Get me drunk on VodkaLets partyHappy Hump day,n
ever been so drunk that you start regretting that you even took a sip lmao,n
 that was a very bad time for me I remember you drunk stumbling around in your monkey onesie,n
customer sure I do Just sell them to me as the wank bait they are instead of serious characters ,n
 go home Shawnee youre drunk,n
I wish I was drunk all the time Oh wait I was our entire relationship,n
I had a weird dream where I was blacked out drunk in a change room Takes too much to drink for me to reach that level of drunkness IRL xD,n
inPink  Austen this summer Portland did Macbeth in a cemetery We are not alone,n
lmao bomi what u doin you drunk kekekekek ,n
The week goes by faster when youre drunk,n
Maybe I was just drunk but  jalapeo mac n cheese last night was the greatest thing Ive ever had,n
People always ask if Im drunk when Im texting but its just my acrylics ,n
Never trust someone who lies even when they are drunkPushAwardsLizQuens,n
When your drunk and all u see is blurred lines you dont have to worry cause RSA has your back ,n
 briella Scream Queens hahaha i took the chance to mess up with the fandom a bit a lil drunk on tea here and yes MULAN,n
I wish i could pant my nails flawlessly My left hand looks gorgeous  but my right looks drunk,n
 Im just gonna get drunk AF when I get home Why not,y
Shit okay maybe Im alil drunk,y
 Oi I barely drink Been drunk 4 times in 2 years and 2 of those times I was camping in my car,n
 how drunk were you last night on a scale 110,n
Woke up earlier than Im used to so I can get drunk w my parents lol,y
 Drunk Mellie ,n
I need five more minutes of sleep every three minutes,n
I makeout with Allen when Im drunk apparently okay,y
im not drunk ,n
i havent been drunk in almost 2 weeks praise me,n
Kids start lying  age of 5 Only three types of people tell the truth kids drunk people and anyone who is pissed the hel,n
 shiiiiid Im gonna be drunk later snaps are about to be too live ,y
 I hope to one day drink wine get drunk and sing songs with uxoxo,n
Drunk History Spies  as H Tubman was the highlight even with greatness from Alia Shawkat and Ferrell TwitterMiniReviews,n
The Cleveland Browns are drunk Why the fuck would you put McCown back when Johnny is impressing,n
I literally think the only thatll get me through the next two days is knowing I can get drunk on Friday night ,y
call ur friends lets get drunk ,n
 inPink Austen that sounds awesome I can imagine it suit there were well,n
Best ways to get drunkElephant BeerRed wineTequila ShotsWhiskey Sour,n
I love when my pandora starts playing in class and says get drunk and fuck,n
  lets get drunk,n
mariana you totally couldve My sister wouldve been confused but she was drunk so shed be okay with it lol,n
So everyone on Plebs has been on Drunk History s well proper ,n
 Bruh Avery your drunk,n
kinda half wanna be drunk now half never wanna do it again,y
 Drunk Felice Herrig via heel hook,n
Good luck today  you deserve it dont get to drunk,n
Im like 45  drunk 50 working all the time and 5 horny,y
Day off More like day drunk WAT,n
 That sounds like a plan She takes another sip from her beer Promise me that you wont let me get too drunk,n
 Always take your makeup off no matter how drunk or tired you are UtterSkinBliss,n
Please explain how a man can be so angry and drunk he rips out his gfs intestines ,n
Just wanna be reunited with bae and get drunk again this weekend  Is that too much to ask for ,n
London by atsamp1ace Drunk out of his mindPretends to read book ,n
 hmmmm if it consists me drunk and driving hell nah,n
tinyraindrop Emo and drunk,n
I just wanna be drunk like 247 is that really that bad,y
call your friends nd lets get drunk,n
15 days and counting till Im reunited with my best friend    few drunk nights Im thinking  nothing new there ,n
Is bomi drunk HAHA,n
 drunk again,n
My stomach been iffy all day since I drunk that shit,n
 what are u sayingwho is drunkkejriewal kahan se aa gaya beech mainu are sitting in punekeep sitting there,n
 what video The drunk tony vis,n
Ill get drunk Ill take somebody home,y
Get up Get drunk,n
 got drunk Sunday night and had it again You are the real mvp,n
 you think we can get as drunk for my 23rd as we did for my 21st or nah,n
So how many different characters can you play at once And can you play them drunk 1linewed,n
Possibly still drunk and Im about to take an exam WhatATimeToBeAlive,y
Drunk ed at his finest LayItAllOnMe  ,n
You know when you just need to get drunk and have drunk conversations with random people Yep I need that,n
Avoid drunk driving OTWOLComplicated PushAwardsJaDines,n
 So into it Next time Im drunk I need to find my drunk AKA  Will get back to you after this weekend,y
Gotta sleep now because im drunk as fuck hehehe PushAwardsLizQuens,y
 team Rwby gets drunk amp Ruby feels left out amp Balke wants to help but that may be a problem ,n
Need to get drunk on Saturday,y
 Im bound by a drunkWith a few memoriesOf how you burn through your lovers its like an ugly disease,n
 your stabilization plugin in is drunk It said we detect that your video may be shaky to a stationary picture,n
im bi and masc as FUCK which is why i only get shit from drunk butch lesbians who are jel but seriously happy BiVisibilityDay live it,n
  u wanna drunk rn,n
  plan is too come down amp GET DRUNK so yes Ashton stock up ,n
My 10yr HS reunion is Fri So I took a trip down memory lane with Pat GreenampThe Great Divide Im drunk now Memory lane aint changed much,y
i got a 2 on my govt test bc i was too drunk to function and i just wrote scribbles everywhere thinking i was making sense,y
 its tomorrow biiiiih I was stupid drunk last night but thanks boo ,y
 and so just we Were you drunk on pastry,n
 A woman in a bikini trying to seduce a guy she likes shouldnt be taken seriously as a character Wow,n
 i never drunk coffee before so ill have to try it i guess  but thanks for the advice,n
I want to get drunk right now,n
Rep Roadkill Steve Sarkisian  always being judged Dont get drunk amp rant  theres always a video cameraphone  DSDET15,n
catt  get drunk pls lol i know its 1 but im sad,n
 lets get drunk and everything will be ok Just invite me please,y
Guys loading the dishwasher does not mean getting your wife or girlfriend drunk,n
PopeinDC Where did they get the translator for the bishops service Is she drunk Seriously too terrible for words,n
  I have literally broken at least 3 phones by dropping them in the toilet when drunk The last one was 2007 though,n
Watching bassheads defend Bassnectar is like watching an cat fight when youre drunk,n
My neighbour Do you drink every nightMe Oh no sometimes Im drunk by noon,n
Call yo friends lets get drunk,n
Youre always drunk when I see you about hahaha oh for fuck sake,n
My Riha Im drunk ,y
 I think I just need to get horrendously drunk haha  xxxx,n
Wow much drunk,n
 drunk af,n
  so youre saying if I dont have a crush on you your life will be ruined Are you drunk,n
we can get drunk amp pretend we drank away all our sins,n
Last PopeInDC encounter pre2015 was a drunk guy in papal vestments shouting while careening through traffic on Mass Ave in a shopping cart,n
call your friends amp lets get drunk,n
 wimpy and I went in there drunk for breakfast once and its an absolute con,n
  drunk because livin in the dungeon foreva lol stay strong jejen unnie just like your tattoo ,n
I see drunk people,n
my bae is having a party and he is drunk and he is wet plaseee bae sleep and stop it nowwwww,n
me and Paz are drunk in spoons,n
 neither do I we were drunk I thinkx,n
Woke up still drunk af,y
Where your ass was at when I was drunk at chucky cheese,y
 CorrieBoard Steve is drunk,n
 atlist we alrday know you planned to tweet shit b4 you even get drunk,n
Grabcar driver also sounds drunk,n
 Its super fun to do especially as drunk late night costumes And when people get it their reaction is really cute,n
Already drunk ,y
I literally think the only thing thatll get me through the next two days is knowing I can get drunk on Friday night its very needed,y
melissa we need to get drunk or high like asap girl ,y
He who has drunk will drink,n
drunk faded 2 months since I fucked a lady,n
Drunk off love we both feel deep down but too scared to say coz we know how this ends thinking maybe wed be better as friends,n
I just wanna drunk die,n
Its gonna rain today guess I gotta get drunk,y
Guys we did it we have an Angry Birds trailer Weve peaked cinema Everything else in comparison now is gonna look drunk Go home,n
Im not the type to stick Im a busy woman I work hard and take care of my son so excuse me,n
 Friday Live tweeting my drunk adventure,y
Saw a dude get super pissed on a train for the first time today and ABSOLUTELY NOT  Not sure if he was drunk or just pissed or what but,n
  Dont known which way to go with thatWe all do ducked up shit when young and drunkStd college shit Blackout,n
Jeebus i also get to go a special one for friends and family of the store Drunk magic,n
If I ever sound inspirational in real life one of us is drunk,n
Cameron go home Dave youre drunk oink,n
Is chatis drunk See what future has caused PLEASE DONT Listen To HIM Take your girl out on dates,n
Dad calls me and says Im coming down next week lets get drunk,n
Babaayy is you drunk is you had enough  Are you here lookin for love ,n
Pass me the blunt Im tryna get drunk af ,n
Drunk as fuck at one though  but its A CELEBRATION,y
Ive spent the last week drunk andor in bed on tumblr with court ,y
I actually cant wait for Saturday Not the getting up early part but Defos the ending up really drunk part ,y
 Madness is the word Half of them are drunk and dancing,n
A week later day before Main g funeral God took Paint from me I really drunk a pint for paint After that I stop eating and sleeping,n
1am we have finished the gig and we are not drunk but gyming and swimmingwhat the fackkkkk,n
This is Kabukich Where we went to see Robot Restaurant and got drunk with my chinese friend Yungyung ,y
2 Drunk Bastards will be at   September 30th doing our podcast Come enjoy  Amoroso rolls and microbrews with us   2DB,n
present your best drunk self,n
dont play that song when Im drunk cause somebody getting pregnant ,n
 LionDUDE Gangsta2 Why is  your choice  gtlt,n
 oy bam youre not drunk get drunk ardy,n
Modern art Heres a partially drunk Salted Caramel Frappuccino Id like to start the bidding at 1 million dollars please,n
 nigga IDK Im pretty positive Im still drunk lololol,y
 happy birthday you silly boy I wish you was here so we could get drunk together here,n
Me  Drunk Chooch ,n
  Says Paul who will be too drunk to see let alone type S,n
Call your friends and lets get drunk,n
His voice made me drunk ,n
 Trying to find Jeff The Drunk on Periscopedo you know the correct screen name to search for ,n
We could be beautifulGet drunk on the good lifeIll take you to paradiseSay youll never let me go,n
m but i mean you guys can totally code drunk rightthats a thingdrunk coding rightb,n
Opera Tonight For All My Niccas Birthdays we getting drunk tonight,y
I am really glad that both of these drunk accounts are set to post until at least 900 tonightI am joy,n
I want to go to zoos amp museums amp play laser tag but everyone else wants to get high amp drunk amp catch STDs but is whatever,n
 lets get drunk around 4  the pool,n
RoDah I did both the PS2 and Gamecube midnight launches drunk Hopefully setting the standards for future generations,n
 pls tell me this is not real like literally taehyung are you drunk ,n
Friendship goals look at these drunk cuties   ,n
 I was drunk,y
hi I was kinda drunk last night and hungover today great times,y
Fucking 98 yr pub staff i lose drinking so drunk,y
When a drunk girl in her 20s screams Oh my God I love this song you can be sure that song sucks,n
Happy birthday love  today means you can get sloppy drunk and have an excuse for it so take advantage,n
drunk af ,n
free your mind and your ass will follow sounds like some drunk advice id give to a friend going through a turbulent break up,n
xo possibly BYOB but Ill be drunk regardless Yall can all stay the night and we can be femaley together,y
 but you see they couldnt take any photos they were too drunk off their budweisers and chicken wings,n
Havent been to mcdonalds since the 9th of august im so proudapart from the time I was drunk amp used their toilet but that time doesnt count,n
ca wait to be drunk wi ma girls on fri   and chels ,n
aubrey are you drunk right now,n
depressed amp drunk ,n
Drunk driving and drowsy driving both cause poor driving skills,n
ms yesssss  They was too strong that time tho  LOL  I was drunk not tipsy,n
But she never could get drunk enough to get him off her mind,n
wish I was still drunk off last nights beer,y
 u drunk,n
 hahahahha omg unnie are u drunk Btw did u go just now,n
Current mood Lemme drink your heart drunk Lemme dream your eyes shut Lemme get your mind off Lemme make your body talk  ,n
Mariee96 are you drunk cuz that makes no sence,n
drunk history is so funny ,n
123 the songs and wicked drunk dance turn me mad God help them ,n
I drunk too much tequila,y
Theres no need for you to shut up hyung but I think you are drunk,n
If you aint never got fucked up to the point you didnt want to drink again you aint never been drunk af Lol,n
Hahahahahaha this guy is drunk texting me ka 7pm tf,n
 duuuuhhhhhhhhh   Stop skipping school and getting drunk ,n
Fetching my drunk dad MidnightDuties ,n
  so I just wrote a blurb for a tragic story idea I got after reading a tragic FB story about a drunk driver,n
Fanboys are worse than feminists smfh  Kill all non anons for a true democracy ,n
I want to get drunk,n
  Stanbury Juliets husband was drunk,n
 you were probs too drunk to remember,n
Showing up to work drunk partyproblems,n
 I am not drunk and i cannot sleep tbh  nope was too tired from work TT,n
is xingie drunk lmfao,n
 Drunk Sophie should not use Twitter,n
Oh my god who is sheI get drunk on Hennessy,y
being gay is not all about being queer drunk leah face timing me 2015,n
My work said I could either go to the alcohol free picnic or go back to work Im going back to work drunk,n
Dont worry Well find them Find My Drunk Friends app in iTunes millerlite festival ,n
Realized how much i love getting drunk with my best fiend ,y
Drunk History is funny I just discovered it and I am a fan,n
 Jalen its too early to be drunk Sober up,n
   omg that is him,n
3 hours into Fionas birthday we are both quite drunk and watching buzzfeed videos so yeah you could say its going better than last year,y
fails calc midterm texts friends to get drunk at karaoke night,n
 sure wasnt I was gon make her take a picture of me since she messed it up but she looked drunk lol,n
Catch Lorraine Davies and the Too Drunk to Fish Band at the Whitby Ribfest Sun July 12  120pm  ribsgobetterwithfish,n
can they all get drunk an get all their feelings out to each other on this europe trip,n
 niall have u drunk any water today Dont want ur skinny ass to get sick again bro,n
 PS looking forward for more drunk messages from you hahahaha D,n
I just wanna get drunk n see the Pigeon Detectives I cant handle this,y
so done is it ok to get drunk on my own yes I think so,n
Brazil92  I would just get them drunk so they think my foods nice,n
can we go back in time now Preferably when Navarro hit that home run and i was drunk and happy and high fiving,y
delgado lol I put it in there when I was drunk ,y
Orsi Cannot wait for the arrival of fallRka sOrsi No FallsShes not even drunk Yet but Im waiting for M too,n
And what if I amwhat you gonna do about it me drunk,n
Lol she said Can I just plead DRUNK worldsdumbest,n
Tony sounds really DRUNK today  Seriously DRUNK  wearethepeople,n
You can get drunk and party and the next day want to read a book in a tree while sippin tea people are allowed to enjoy various things,n
Gingersnapp then no one can tell us we cant get drunk in the pool and beat each other with pool noodles,n
Jess said shes going to make a scrapbook of all our drunk pictures Im so excited ,n
Whoever said drunk housework was more fun lied,n
 you always drunk Lol,n
esleyvasquez Happy Birthday Hope you have a blast amp dont get too drunk  your birthday is 5 days before mine LibraGang ,n
Trains do you have a policy about apparently drunk people in services causing disruption to other passengers,n
 her drunk ass might of got the best one You know a drunk gotta focus to get shit done ,n
I was hacked is the new I was drunk  DSDET15,y
this is nice get drunk at happy hour weather,n
Dont need to get drunk,y
All my senses come to lifeWhile Im stumbling home as drunk as IHave ever been and Ill never leave againCause you are the only one,n
Yeah blame the drugs got me sinnin on the weekday drunk as fuck doing a buck sixty on the freeway,y
When you realize youre best friend and youre love interest are the type to get drunk at 1 pm on a Wednesday ,n
She got me going crazy things without her dropping liquordrunk in love this cant be good for my liver,y
Steve and I got way drunk last night Why Because we didnt eat Go us Still drunk today Not how I wanted to spend Wednesday,y
America  I actually want this,y
 unnie are you drunk its okay though,n
Fall means instead of getting drunk outside in the grass Im getting drunk inside on the floor,y
We should just get drunk and fuck,n
I hate getting drunk and other lies,y
I drunk 3 mountain dews Tryna stay up its not working amp my face gonelook like a pizza ,n
el he wasnt really drunk he just had a few brews,n
drunk in loveeeeee,n
Rep Roadkill I was hacked is the new I was drunk  DSDET15 politicalrant familyfeud,y
 had a dream you and I were at the mall again drunk as fuck but I ditches cause I had court ,n
   whats up not the sun nigga good night When you be drunk texting me,n
I wanna get v drunk on Saturday since im not in work,n
Happy BDay Engeling throwback to the time you got so drunk u peed yourself and started swimming on the floor ,n
naw I aint drunk okay maybe I do have a little buzz,n
jaynee99 yeah yea get me drunk ,n
Someone go to trapfest with me and get drunk with me I dont wanna roll ,y
Havent had a lick of alcohol But Im drunk Ask me if I care at all Im high on life Flying like a kite Im drunk  ,y
 If you dont like drunk driving then dont drunk drive,n
 Fuck the Browns man they dont start the goat they drunk,n
drunk texting you,n
when she makes up cute little songs about you when shes drunk ,n
Getting drunk tonight is going to be a serious struggle,n
ini showed my drunk ass in sistaa girl last night ,n
Car96 no Im getting drunk ,n
JEFF  Gangsta2 Cuz  is a GOOD girl,n
 UNDERSTAND Republic it means ppl can live free talk free go or come buy or sell b drunk or sober however they choose ,n
I wasnt drunk last night I had the worst dream imaginable and I guess I tweeted about it,n
Go home Don Francisco youre drunk already,n
Way to start my morning off within two drunk guys walking into my job,n
I was hacked is the new I was drunk  DSDET15 ,n
ORG  I would need to be extremely drunk as well as hungry,n
I dont know who this dude is but he passed out drunk in the middle of the jungle like a goddamn model Amazing ,n
 happy bday again and wcw ofc dont get too drunk,n
Reggienet is the equivalent of the drunk girl with the birthday sash on shes barely functioning and needs help with every step,n
I only love you when im drunk,n
But I dont think getting drunk with my colleagues on the second day of work is wise ,n
Being on nitrous is like being drunk In class weirdestfeelingever ,n
 bam bam bam are you drunk OO,n
so what we get drunk so what we smoke weed were just having fun we dont care who sees,n
Legg Drunk Tripping ,n
 lol I seem to do that even when Im not drunk ,n
So ready to get drunk tonight Wednesday with rugby I have missed you,y
Yesterday was unforgettable Made friends met bear broke a piece off my Polaroid talked to a drunk guy called bear dad Shit I miss it,n
